,Sex,Single Year of Age,VALUE
4007,Male,22,555
4008,Male,22,517
4009,Male,22,259
4010,Male,22,852
4011,Male,22,1314
4012,Male,22,502
4013,Male,22,535
4014,Male,22,878
4015,Male,22,870
4016,Male,22,775
4017,Male,22,1842
4018,Male,22,1832
4019,Male,22,790
4020,Male,22,1478
4021,Male,22,909
4022,Male,22,751
4023,Male,22,895
4024,Male,22,928
4025,Male,22,170
4026,Male,22,624
4027,Male,22,347
4028,Male,22,411
4029,Male,22,441
4030,Male,22,870
4031,Male,22,352
4032,Male,23,30871
4033,Male,23,376
4034,Male,23,4839
4035,Male,23,1566
4036,Male,23,1926
4037,Male,23,1899
4038,Male,23,1469
4039,Male,23,523
4040,Male,23,503
4041,Male,23,266
4042,Male,23,812
4043,Male,23,1257
4044,Male,23,453
4045,Male,23,584
4046,Male,23,854
4047,Male,23,811
4048,Male,23,632
4049,Male,23,1721
4050,Male,23,1785
4051,Male,23,834
4052,Male,23,1351
4053,Male,23,866
4054,Male,23,740
4055,Male,23,795
4056,Male,23,907
4057,Male,23,177
4058,Male,23,619
4059,Male,23,336
4060,Male,23,365
4061,Male,23,436
4062,Male,23,809
4063,Male,23,360
4064,Male,24,30234
4065,Male,24,340
4066,Male,24,5137
4067,Male,24,1508
4068,Male,24,1818
4069,Male,24,1855
4070,Male,24,1340
4071,Male,24,526
4072,Male,24,471
4073,Male,24,239
4074,Male,24,737
4075,Male,24,1170
4076,Male,24,437
4077,Male,24,567
4078,Male,24,837
4079,Male,24,725
4080,Male,24,649
4081,Male,24,1687
4082,Male,24,1704
4083,Male,24,750
4084,Male,24,1355
4085,Male,24,842
4086,Male,24,711
4087,Male,24,855
4088,Male,24,899
4089,Male,24,147
4090,Male,24,644
4091,Male,24,285
4092,Male,24,373
4093,Male,24,429
4094,Male,24,821
4095,Male,24,376
4096,Male,25,29969
4097,Male,25,330
4098,Male,25,5634
4099,Male,25,1532
4100,Male,25,1831
4101,Male,25,1761
4102,Male,25,1344
