,Sex,Single Year of Age,VALUE
4630,Male,41,960
4631,Male,41,699
4632,Male,41,1587
4633,Male,41,276
4634,Male,41,950
4635,Male,41,546
4636,Male,41,509
4637,Male,41,630
4638,Male,41,1168
4639,Male,41,549
4640,Male,42,41644
4641,Male,42,528
4642,Male,42,4704
4643,Male,42,1812
4644,Male,42,3069
4645,Male,42,2626
4646,Male,42,2192
4647,Male,42,791
4648,Male,42,813
4649,Male,42,384
4650,Male,42,1133
4651,Male,42,1903
4652,Male,42,625
4653,Male,42,778
4654,Male,42,1302
4655,Male,42,1306
4656,Male,42,969
4657,Male,42,1747
4658,Male,42,2906
4659,Male,42,1248
4660,Male,42,1613
4661,Male,42,1254
4662,Male,42,1022
4663,Male,42,692
4664,Male,42,1558
4665,Male,42,249
4666,Male,42,1007
4667,Male,42,538
4668,Male,42,541
4669,Male,42,624
4670,Male,42,1224
4671,Male,42,486
4672,Male,43,39275
4673,Male,43,487
4674,Male,43,4458
4675,Male,43,1665
4676,Male,43,2948
4677,Male,43,2555
4678,Male,43,2080
4679,Male,43,799
4680,Male,43,727
4681,Male,43,384
4682,Male,43,971
4683,Male,43,1773
4684,Male,43,572
4685,Male,43,673
4686,Male,43,1119
4687,Male,43,1222
4688,Male,43,892
4689,Male,43,1638
4690,Male,43,2853
4691,Male,43,1145
4692,Male,43,1543
4693,Male,43,1235
4694,Male,43,1008
4695,Male,43,645
4696,Male,43,1469
4697,Male,43,246
4698,Male,43,919
4699,Male,43,472
4700,Male,43,482
4701,Male,43,632
4702,Male,43,1186
4703,Male,43,477
4704,Male,44,37940
4705,Male,44,448
4706,Male,44,4210
4707,Male,44,1566
4708,Male,44,2707
4709,Male,44,2330
4710,Male,44,1971
4711,Male,44,800
4712,Male,44,712
4713,Male,44,334
4714,Male,44,1002
4715,Male,44,1748
4716,Male,44,617
4717,Male,44,679
4718,Male,44,1114
4719,Male,44,1224
4720,Male,44,884
4721,Male,44,1535
4722,Male,44,2778
4723,Male,44,1179
4724,Male,44,1503
4725,Male,44,1172
4726,Male,44,930
4727,Male,44,613
4728,Male,44,1449
4729,Male,44,264
4730,Male,44,955
4731,Male,44,478
4732,Male,44,506
4733,Male,44,586
4734,Male,44,1181
4735,Male,44,465
4736,Male,45,37710
4737,Male,45,447
4738,Male,45,4016
4739,Male,45,1443
4740,Male,45,2788
4741,Male,45,2222
4742,Male,45,1959
4743,Male,45,770
4744,Male,45,721
4745,Male,45,365
4746,Male,45,968
4747,Male,45,1719
4748,Male,45,623
4749,Male,45,701
4750,Male,45,1166
4751,Male,45,1194
4752,Male,45,936
4753,Male,45,1495
4754,Male,45,2866
4755,Male,45,1147
4756,Male,45,1566
4757,Male,45,1237
4758,Male,45,921
4759,Male,45,584
4760,Male,45,1462
4761,Male,45,267
4762,Male,45,931
4763,Male,45,481
4764,Male,45,492
4765,Male,45,538
4766,Male,45,1193
4767,Male,45,492
4768,Male,46,37289
4769,Male,46,463
4770,Male,46,3858
4771,Male,46,1546
4772,Male,46,2681
4773,Male,46,2145
4774,Male,46,1957
4775,Male,46,807
4776,Male,46,665
4777,Male,46,333
4778,Male,46,1055
4779,Male,46,1770
4780,Male,46,638
4781,Male,46,644
4782,Male,46,1137
4783,Male,46,1171
4784,Male,46,902
4785,Male,46,1520
4786,Male,46,2783
4787,Male,46,1089
4788,Male,46,1541
4789,Male,46,1194
4790,Male,46,878
4791,Male,46,577
4792,Male,46,1464
4793,Male,46,244
4794,Male,46,974
4795,Male,46,481
4796,Male,46,469
4797,Male,46,587
4798,Male,46,1239
4799,Male,46,477
4800,Male,47,37053
4801,Male,47,453
4802,Male,47,3801
4803,Male,47,1510
4804,Male,47,2715
4805,Male,47,2105
4806,Male,47,1933
4807,Male,47,738
4808,Male,47,684
4809,Male,47,355
4810,Male,47,986
4811,Male,47,1778
4812,Male,47,622
4813,Male,47,712
4814,Male,47,1126
4815,Male,47,1208
4816,Male,47,882
4817,Male,47,1501
4818,Male,47,2801
4819,Male,47,1151
4820,Male,47,1505
4821,Male,47,1258
4822,Male,47,886
4823,Male,47,569
4824,Male,47,1412
4825,Male,47,244
4826,Male,47,919
4827,Male,47,529
4828,Male,47,508
4829,Male,47,588
4830,Male,47,1119
4831,Male,47,455
4832,Male,48,36472
4833,Male,48,411
4834,Male,48,3741
4835,Male,48,1561
4836,Male,48,2614
4837,Male,48,2084
4838,Male,48,1930
4839,Male,48,796
4840,Male,48,665
4841,Male,48,307
4842,Male,48,1010
4843,Male,48,1692
4844,Male,48,596
4845,Male,48,656
4846,Male,48,1159
4847,Male,48,1190
4848,Male,48,958
4849,Male,48,1394
4850,Male,48,2820
4851,Male,48,1138
4852,Male,48,1450
4853,Male,48,1167
4854,Male,48,885
4855,Male,48,483
4856,Male,48,1464
4857,Male,48,243
4858,Male,48,905
4859,Male,48,508
4860,Male,48,466
4861,Male,48,562
4862,Male,48,1151
4863,Male,48,466
4864,Male,49,36650
4865,Male,49,453
4866,Male,49,3701
4867,Male,49,1555
4868,Male,49,2562
4869,Male,49,2070
4870,Male,49,1921
4871,Male,49,816
4872,Male,49,661
4873,Male,49,366
4874,Male,49,1025
4875,Male,49,1751
4876,Male,49,611
4877,Male,49,684
4878,Male,49,1184
4879,Male,49,1196
4880,Male,49,941
4881,Male,49,1466
4882,Male,49,2691
4883,Male,49,1100
4884,Male,49,1474
4885,Male,49,1242
4886,Male,49,909
4887,Male,49,489
4888,Male,49,1463
4889,Male,49,238
4890,Male,49,918
4891,Male,49,502
4892,Male,49,448
4893,Male,49,555
4894,Male,49,1187
4895,Male,49,471
4896,Male,50,36050
4897,Male,50,443
4898,Male,50,3753
4899,Male,50,1494
4900,Male,50,2434
4901,Male,50,1926
4902,Male,50,1911
4903,Male,50,726
4904,Male,50,692
4905,Male,50,309
4906,Male,50,1050
4907,Male,50,1700
4908,Male,50,594
4909,Male,50,673
4910,Male,50,1193
4911,Male,50,1156
4912,Male,50,946
4913,Male,50,1424
4914,Male,50,2708
4915,Male,50,1164
4916,Male,50,1496
4917,Male,50,1131
4918,Male,50,869
4919,Male,50,469
4920,Male,50,1392
4921,Male,50,264
4922,Male,50,971
4923,Male,50,488
4924,Male,50,424
4925,Male,50,604
4926,Male,50,1185
4927,Male,50,461
4928,Male,51,34926
4929,Male,51,379
4930,Male,51,3567
4931,Male,51,1470
4932,Male,51,2252
4933,Male,51,1894
4934,Male,51,1821
4935,Male,51,694
4936,Male,51,660
4937,Male,51,328
4938,Male,51,1025
4939,Male,51,1587
4940,Male,51,537
4941,Male,51,654
4942,Male,51,1182
4943,Male,51,1177
4944,Male,51,916
4945,Male,51,1372
4946,Male,51,2684
4947,Male,51,1120
4948,Male,51,1413
4949,Male,51,1174
4950,Male,51,867
4951,Male,51,498
4952,Male,51,1406
4953,Male,51,225
4954,Male,51,955
4955,Male,51,495
4956,Male,51,495
4957,Male,51,537
4958,Male,51,1129
4959,Male,51,413
4960,Male,52,34356
4961,Male,52,420
4962,Male,52,3453
4963,Male,52,1409
4964,Male,52,2153
4965,Male,52,1855
4966,Male,52,1749
4967,Male,52,742
4968,Male,52,656
4969,Male,52,319
4970,Male,52,974
4971,Male,52,1594
4972,Male,52,555
4973,Male,52,652
4974,Male,52,1179
4975,Male,52,1104
4976,Male,52,919
4977,Male,52,1340
4978,Male,52,2555
4979,Male,52,1148
4980,Male,52,1414
4981,Male,52,1148
4982,Male,52,836
4983,Male,52,466
4984,Male,52,1360
4985,Male,52,247
4986,Male,52,925
4987,Male,52,513
4988,Male,52,463
4989,Male,52,557
4990,Male,52,1195
4991,Male,52,456
4992,Male,53,32611
4993,Male,53,400
4994,Male,53,3331
4995,Male,53,1332
4996,Male,53,2013
4997,Male,53,1733
4998,Male,53,1611
4999,Male,53,700
5000,Male,53,618
5001,Male,53,296
5002,Male,53,958
5003,Male,53,1464
5004,Male,53,546
5005,Male,53,645
5006,Male,53,1099
5007,Male,53,989
5008,Male,53,873
5009,Male,53,1263
5010,Male,53,2452
5011,Male,53,1099
5012,Male,53,1285
5013,Male,53,1136
5014,Male,53,881
5015,Male,53,424
5016,Male,53,1308
5017,Male,53,243
5018,Male,53,880
5019,Male,53,468
5020,Male,53,438
5021,Male,53,553
5022,Male,53,1141
5023,Male,53,432
5024,Male,54,32050
5025,Male,54,423
5026,Male,54,3389
5027,Male,54,1291
5028,Male,54,1882
5029,Male,54,1649
5030,Male,54,1580
5031,Male,54,659
5032,Male,54,600
5033,Male,54,315
5034,Male,54,911
5035,Male,54,1447
5036,Male,54,579
5037,Male,54,605
5038,Male,54,1058
5039,Male,54,973
5040,Male,54,850
5041,Male,54,1305
5042,Male,54,2325
5043,Male,54,1052
5044,Male,54,1307
5045,Male,54,1124
5046,Male,54,806
5047,Male,54,418
5048,Male,54,1321
5049,Male,54,244
5050,Male,54,919
5051,Male,54,445
5052,Male,54,487
5053,Male,54,538
5054,Male,54,1144
5055,Male,54,404
5056,Male,55,31353
5057,Male,55,412
5058,Male,55,3075
5059,Male,55,1334
5060,Male,55,1805
5061,Male,55,1622
5062,Male,55,1513
5063,Male,55,698
5064,Male,55,605
5065,Male,55,275
5066,Male,55,854
5067,Male,55,1355
5068,Male,55,494
5069,Male,55,591
5070,Male,55,1081
5071,Male,55,961
5072,Male,55,867
5073,Male,55,1278
5074,Male,55,2455
5075,Male,55,1007
5076,Male,55,1298
5077,Male,55,1109
5078,Male,55,872
5079,Male,55,408
5080,Male,55,1306
5081,Male,55,242
5082,Male,55,903
5083,Male,55,491
5084,Male,55,451
5085,Male,55,542
5086,Male,55,1075
5087,Male,55,374
5088,Male,56,30684
5089,Male,56,377
5090,Male,56,3168
5091,Male,56,1249
5092,Male,56,1695
5093,Male,56,1483
5094,Male,56,1504
5095,Male,56,679
5096,Male,56,554
5097,Male,56,283
5098,Male,56,877
5099,Male,56,1352
5100,Male,56,535
5101,Male,56,542
5102,Male,56,1013
5103,Male,56,985
5104,Male,56,828
5105,Male,56,1286
5106,Male,56,2364
5107,Male,56,1042
5108,Male,56,1227
5109,Male,56,1130
5110,Male,56,828
5111,Male,56,438
5112,Male,56,1238
5113,Male,56,224
5114,Male,56,888
5115,Male,56,461
5116,Male,56,415
5117,Male,56,550
5118,Male,56,1062
5119,Male,56,407
5120,Male,57,30891
5121,Male,57,355
5122,Male,57,3166
5123,Male,57,1295
5124,Male,57,1672
5125,Male,57,1491
5126,Male,57,1464
5127,Male,57,666
5128,Male,57,522
5129,Male,57,307
5130,Male,57,845
5131,Male,57,1425
5132,Male,57,532
5133,Male,57,585
5134,Male,57,1080
5135,Male,57,1038
5136,Male,57,824
5137,Male,57,1282
5138,Male,57,2338
5139,Male,57,1027
5140,Male,57,1253
5141,Male,57,1157
5142,Male,57,820
5143,Male,57,419
5144,Male,57,1262
5145,Male,57,245
5146,Male,57,946
5147,Male,57,455
5148,Male,57,420
5149,Male,57,515
5150,Male,57,1095
5151,Male,57,390
5152,Male,58,29775
5153,Male,58,356
5154,Male,58,3113
5155,Male,58,1278
5156,Male,58,1600
5157,Male,58,1445
5158,Male,58,1349
5159,Male,58,626
5160,Male,58,529
5161,Male,58,277
5162,Male,58,834
5163,Male,58,1198
5164,Male,58,544
5165,Male,58,567
5166,Male,58,1042
5167,Male,58,905
5168,Male,58,841
5169,Male,58,1317
5170,Male,58,2230
5171,Male,58,1040
5172,Male,58,1203
5173,Male,58,1081
5174,Male,58,809
5175,Male,58,356
5176,Male,58,1201
5177,Male,58,230
5178,Male,58,917
5179,Male,58,498
5180,Male,58,464
5181,Male,58,468
5182,Male,58,1078
5183,Male,58,379
5184,Male,59,29196
5185,Male,59,383
5186,Male,59,3040
5187,Male,59,1285
5188,Male,59,1593
5189,Male,59,1470
5190,Male,59,1261
5191,Male,59,638
5192,Male,59,501
5193,Male,59,263
5194,Male,59,774
5195,Male,59,1207
5196,Male,59,489
5197,Male,59,593
5198,Male,59,985
5199,Male,59,952
5200,Male,59,797
5201,Male,59,1285
5202,Male,59,2166
5203,Male,59,1031
5204,Male,59,1176
5205,Male,59,1124
5206,Male,59,837
5207,Male,59,351
5208,Male,59,1133
5209,Male,59,212
5210,Male,59,905
5211,Male,59,444
5212,Male,59,451
5213,Male,59,515
5214,Male,59,962
5215,Male,59,373
5216,Male,60,28455
5217,Male,60,356
5218,Male,60,2961
5219,Male,60,1254
5220,Male,60,1502
5221,Male,60,1435
5222,Male,60,1276
5223,Male,60,594
5224,Male,60,506
5225,Male,60,269
5226,Male,60,772
5227,Male,60,1111
5228,Male,60,463
5229,Male,60,565
5230,Male,60,1015
5231,Male,60,985
5232,Male,60,783
5233,Male,60,1277
5234,Male,60,2108
5235,Male,60,1001
5236,Male,60,1184
5237,Male,60,998
5238,Male,60,769
5239,Male,60,376
5240,Male,60,1161
5241,Male,60,213
5242,Male,60,845
5243,Male,60,432
5244,Male,60,429
5245,Male,60,478
5246,Male,60,963
5247,Male,60,374
5248,Male,61,27849
5249,Male,61,334
5250,Male,61,2829
5251,Male,61,1190
5252,Male,61,1427
5253,Male,61,1438
5254,Male,61,1237
5255,Male,61,599
5256,Male,61,496
5257,Male,61,263
5258,Male,61,754
5259,Male,61,1128
5260,Male,61,542
5261,Male,61,517
5262,Male,61,979
5263,Male,61,861
5264,Male,61,756
5265,Male,61,1156
5266,Male,61,2084
5267,Male,61,973
5268,Male,61,1152
5269,Male,61,1097
5270,Male,61,730
5271,Male,61,360
5272,Male,61,1142
5273,Male,61,222
5274,Male,61,876
5275,Male,61,473
5276,Male,61,441
5277,Male,61,464
5278,Male,61,945
5279,Male,61,384
5280,Male,62,27116
5281,Male,62,333
5282,Male,62,2781
5283,Male,62,1188
5284,Male,62,1399
5285,Male,62,1310
5286,Male,62,1126
5287,Male,62,645
5288,Male,62,478
5289,Male,62,266
5290,Male,62,707
5291,Male,62,1025
5292,Male,62,485
5293,Male,62,534
5294,Male,62,962
5295,Male,62,836
5296,Male,62,754
5297,Male,62,1120
5298,Male,62,2048
5299,Male,62,1036
5300,Male,62,1115
5301,Male,62,958
5302,Male,62,760
5303,Male,62,333
5304,Male,62,1122
5305,Male,62,225
5306,Male,62,902
5307,Male,62,409
5308,Male,62,436
5309,Male,62,473
5310,Male,62,944
5311,Male,62,406
5312,Male,63,25884
5313,Male,63,326
5314,Male,63,2626
5315,Male,63,1109
5316,Male,63,1302
5317,Male,63,1309
5318,Male,63,1115
5319,Male,63,574
5320,Male,63,482
5321,Male,63,226
5322,Male,63,659
5323,Male,63,979
5324,Male,63,432
5325,Male,63,498
5326,Male,63,929
5327,Male,63,825
5328,Male,63,782
5329,Male,63,1092
5330,Male,63,1885
5331,Male,63,983
5332,Male,63,1149
5333,Male,63,939
5334,Male,63,699
5335,Male,63,328
5336,Male,63,1031
5337,Male,63,228
5338,Male,63,890
5339,Male,63,436
5340,Male,63,403
5341,Male,63,420
5342,Male,63,926
5343,Male,63,302
5344,Male,64,25127
5345,Male,64,287
5346,Male,64,2456
5347,Male,64,1092
5348,Male,64,1241
5349,Male,64,1277
5350,Male,64,1031
5351,Male,64,593
5352,Male,64,450
5353,Male,64,216
5354,Male,64,650
5355,Male,64,933
5356,Male,64,406
5357,Male,64,483
5358,Male,64,870
5359,Male,64,760
5360,Male,64,712
5361,Male,64,1069
5362,Male,64,1862
5363,Male,64,943
5364,Male,64,1132
5365,Male,64,997
5366,Male,64,643
5367,Male,64,321
5368,Male,64,1096
5369,Male,64,206
5370,Male,64,874
5371,Male,64,430
5372,Male,64,401
5373,Male,64,430
5374,Male,64,903
5375,Male,64,363
5376,Male,65,24900
5377,Male,65,322
5378,Male,65,2456
5379,Male,65,1033
5380,Male,65,1247
5381,Male,65,1197
5382,Male,65,1073
5383,Male,65,511
5384,Male,65,458
5385,Male,65,214
5386,Male,65,627
5387,Male,65,893
5388,Male,65,470
5389,Male,65,502
5390,Male,65,904
5391,Male,65,728
5392,Male,65,691
5393,Male,65,1061
5394,Male,65,1837
5395,Male,65,975
5396,Male,65,1051
5397,Male,65,960
5398,Male,65,690
5399,Male,65,303
5400,Male,65,1055
5401,Male,65,216
5402,Male,65,853
5403,Male,65,423
5404,Male,65,410
5405,Male,65,457
5406,Male,65,945
5407,Male,65,338
5408,Male,66,23759
5409,Male,66,283
5410,Male,66,2204
5411,Male,66,1027
5412,Male,66,1090
5413,Male,66,1204
5414,Male,66,968
5415,Male,66,564
5416,Male,66,404
5417,Male,66,217
5418,Male,66,658
5419,Male,66,914
5420,Male,66,413
5421,Male,66,473
5422,Male,66,817
5423,Male,66,740
5424,Male,66,647
5425,Male,66,915
5426,Male,66,1798
5427,Male,66,936
5428,Male,66,1093
5429,Male,66,948
5430,Male,66,619
5431,Male,66,288
5432,Male,66,1034
5433,Male,66,229
5434,Male,66,866
5435,Male,66,412
5436,Male,66,363
5437,Male,66,383
5438,Male,66,894
5439,Male,66,358
5440,Male,67,23627
5441,Male,67,271
5442,Male,67,2194
5443,Male,67,974
5444,Male,67,1075
5445,Male,67,1228
5446,Male,67,1028
5447,Male,67,546
5448,Male,67,401
5449,Male,67,229
5450,Male,67,630
5451,Male,67,882
5452,Male,67,406
5453,Male,67,457
5454,Male,67,894
5455,Male,67,710
5456,Male,67,672
5457,Male,67,976
5458,Male,67,1683
5459,Male,67,945
5460,Male,67,998
5461,Male,67,908
5462,Male,67,692
5463,Male,67,313
5464,Male,67,1019
5465,Male,67,194
5466,Male,67,844
5467,Male,67,419
5468,Male,67,390
5469,Male,67,419
5470,Male,67,905
5471,Male,67,325
5472,Male,68,22502
5473,Male,68,291
5474,Male,68,2065
5475,Male,68,970
5476,Male,68,1077
5477,Male,68,1145
5478,Male,68,909
5479,Male,68,550
5480,Male,68,368
5481,Male,68,243
5482,Male,68,591
5483,Male,68,861
5484,Male,68,337
5485,Male,68,421
5486,Male,68,785
5487,Male,68,693
5488,Male,68,637
5489,Male,68,886
5490,Male,68,1727
5491,Male,68,857
5492,Male,68,998
5493,Male,68,915
5494,Male,68,618
5495,Male,68,287
5496,Male,68,926
5497,Male,68,213
5498,Male,68,803
5499,Male,68,401
5500,Male,68,358
5501,Male,68,381
5502,Male,68,867
5503,Male,68,322
5504,Male,69,22594
5505,Male,69,276
5506,Male,69,2147
5507,Male,69,976
5508,Male,69,1127
5509,Male,69,1154
5510,Male,69,947
5511,Male,69,490
5512,Male,69,382
5513,Male,69,212
5514,Male,69,536
5515,Male,69,788
5516,Male,69,409
5517,Male,69,424
5518,Male,69,818
5519,Male,69,653
5520,Male,69,673
5521,Male,69,888
5522,Male,69,1713
5523,Male,69,834
5524,Male,69,1043
5525,Male,69,875
5526,Male,69,578
5527,Male,69,324
5528,Male,69,990
5529,Male,69,201
5530,Male,69,791
5531,Male,69,406
5532,Male,69,371
5533,Male,69,358
5534,Male,69,889
5535,Male,69,321
5536,Male,70,21253
5537,Male,70,277
5538,Male,70,1930
5539,Male,70,927
5540,Male,70,1031
5541,Male,70,1148
5542,Male,70,845
5543,Male,70,471
5544,Male,70,371
5545,Male,70,244
5546,Male,70,545
5547,Male,70,726
5548,Male,70,369
5549,Male,70,391
5550,Male,70,788
5551,Male,70,634
5552,Male,70,604
5553,Male,70,890
5554,Male,70,1607
5555,Male,70,881
5556,Male,70,960
5557,Male,70,805
5558,Male,70,572
5559,Male,70,262
5560,Male,70,863
5561,Male,70,191
5562,Male,70,727
5563,Male,70,395
5564,Male,70,333
5565,Male,70,348
5566,Male,70,837
5567,Male,70,281
5568,Male,71,20449
5569,Male,71,238
5570,Male,71,1863
5571,Male,71,861
5572,Male,71,953
5573,Male,71,1112
5574,Male,71,824
5575,Male,71,410
5576,Male,71,353
5577,Male,71,199
5578,Male,71,488
5579,Male,71,767
5580,Male,71,357
5581,Male,71,374
5582,Male,71,767
5583,Male,71,631
5584,Male,71,596
5585,Male,71,813
5586,Male,71,1518
5587,Male,71,838
5588,Male,71,908
5589,Male,71,780
5590,Male,71,547
5591,Male,71,248
5592,Male,71,855
5593,Male,71,200
5594,Male,71,805
5595,Male,71,355
5596,Male,71,386
5597,Male,71,340
5598,Male,71,772
5599,Male,71,291
5600,Male,72,19965
5601,Male,72,248
5602,Male,72,1821
5603,Male,72,803
5604,Male,72,959
5605,Male,72,1107
5606,Male,72,785
5607,Male,72,471
5608,Male,72,315
5609,Male,72,202
5610,Male,72,523
5611,Male,72,743
5612,Male,72,321
5613,Male,72,367
5614,Male,72,747
5615,Male,72,595
5616,Male,72,605
5617,Male,72,844
5618,Male,72,1482
5619,Male,72,782
5620,Male,72,886
5621,Male,72,789
5622,Male,72,505
5623,Male,72,224
5624,Male,72,852
5625,Male,72,191
5626,Male,72,745
5627,Male,72,291
5628,Male,72,345
5629,Male,72,363
5630,Male,72,763
5631,Male,72,291
5632,Male,73,19121
5633,Male,73,233
5634,Male,73,1731
5635,Male,73,826
5636,Male,73,888
5637,Male,73,994
5638,Male,73,773
5639,Male,73,421
5640,Male,73,277
5641,Male,73,193
5642,Male,73,462
5643,Male,73,707
5644,Male,73,328
5645,Male,73,387
5646,Male,73,656
5647,Male,73,642
5648,Male,73,542
5649,Male,73,759
5650,Male,73,1432
5651,Male,73,760
5652,Male,73,893
5653,Male,73,724
5654,Male,73,509
5655,Male,73,262
5656,Male,73,852
5657,Male,73,155
5658,Male,73,699
5659,Male,73,319
5660,Male,73,345
5661,Male,73,322
5662,Male,73,755
5663,Male,73,275
5664,Male,74,18493
5665,Male,74,246
5666,Male,74,1710
5667,Male,74,825
5668,Male,74,854
5669,Male,74,965
5670,Male,74,728
5671,Male,74,477
5672,Male,74,289
5673,Male,74,192
5674,Male,74,468
5675,Male,74,647
5676,Male,74,328
5677,Male,74,313
5678,Male,74,654
5679,Male,74,551
5680,Male,74,540
5681,Male,74,713
5682,Male,74,1413
5683,Male,74,758
5684,Male,74,785
5685,Male,74,700
5686,Male,74,500
5687,Male,74,223
5688,Male,74,819
5689,Male,74,141
5690,Male,74,723
5691,Male,74,318
5692,Male,74,313
5693,Male,74,308
5694,Male,74,750
5695,Male,74,242
5696,Male,75,17473
5697,Male,75,207
5698,Male,75,1620
5699,Male,75,793
5700,Male,75,793
5701,Male,75,825
5702,Male,75,735
5703,Male,75,392
5704,Male,75,275
5705,Male,75,164
5706,Male,75,440
5707,Male,75,621
5708,Male,75,289
5709,Male,75,290
5710,Male,75,644
5711,Male,75,576
5712,Male,75,507
5713,Male,75,752
5714,Male,75,1317
5715,Male,75,705
5716,Male,75,738
5717,Male,75,626
5718,Male,75,546
5719,Male,75,224
5720,Male,75,731
5721,Male,75,154
5722,Male,75,683
5723,Male,75,284
5724,Male,75,270
5725,Male,75,287
5726,Male,75,732
5727,Male,75,253
5728,Male,76,16094
5729,Male,76,201
5730,Male,76,1476
5731,Male,76,757
5732,Male,76,781
5733,Male,76,828
5734,Male,76,653
5735,Male,76,315
5736,Male,76,251
5737,Male,76,172
5738,Male,76,415
5739,Male,76,553
5740,Male,76,272
5741,Male,76,286
5742,Male,76,563
5743,Male,76,495
5744,Male,76,478
5745,Male,76,697
5746,Male,76,1149
5747,Male,76,686
5748,Male,76,692
5749,Male,76,627
5750,Male,76,427
5751,Male,76,228
5752,Male,76,677
5753,Male,76,140
5754,Male,76,577
5755,Male,76,297
5756,Male,76,270
5757,Male,76,254
5758,Male,76,663
5759,Male,76,214
5760,Male,77,14601
5761,Male,77,184
5762,Male,77,1310
5763,Male,77,716
5764,Male,77,692
5765,Male,77,717
5766,Male,77,580
5767,Male,77,360
5768,Male,77,235
5769,Male,77,136
5770,Male,77,345
5771,Male,77,524
5772,Male,77,248
5773,Male,77,290
5774,Male,77,523
5775,Male,77,473
5776,Male,77,442
5777,Male,77,629
5778,Male,77,1101
5779,Male,77,593
5780,Male,77,609
5781,Male,77,581
5782,Male,77,413
5783,Male,77,179
5784,Male,77,597
5785,Male,77,137
5786,Male,77,512
5787,Male,77,237
5788,Male,77,234
5789,Male,77,224
5790,Male,77,594
5791,Male,77,186
5792,Male,78,13392
5793,Male,78,156
5794,Male,78,1265
5795,Male,78,684
5796,Male,78,616
5797,Male,78,611
5798,Male,78,506
5799,Male,78,303
5800,Male,78,218
5801,Male,78,140
5802,Male,78,389
5803,Male,78,486
5804,Male,78,208
5805,Male,78,248
5806,Male,78,509
5807,Male,78,438
5808,Male,78,416
5809,Male,78,530
5810,Male,78,971
5811,Male,78,520
5812,Male,78,584
5813,Male,78,520
5814,Male,78,350
5815,Male,78,165
5816,Male,78,567
5817,Male,78,110
5818,Male,78,483
5819,Male,78,230
5820,Male,78,218
5821,Male,78,216
5822,Male,78,553
5823,Male,78,182
5824,Male,79,12166
5825,Male,79,168
5826,Male,79,1220
5827,Male,79,655
5828,Male,79,566
5829,Male,79,535
5830,Male,79,469
5831,Male,79,270
5832,Male,79,178
5833,Male,79,109
5834,Male,79,291
5835,Male,79,392
5836,Male,79,213
5837,Male,79,206
5838,Male,79,445
5839,Male,79,392
5840,Male,79,314
5841,Male,79,477
5842,Male,79,851
5843,Male,79,500
5844,Male,79,559
5845,Male,79,486
5846,Male,79,349
5847,Male,79,155
5848,Male,79,499
5849,Male,79,100
5850,Male,79,428
5851,Male,79,219
5852,Male,79,222
5853,Male,79,197
5854,Male,79,502
5855,Male,79,199
5856,Male,80,10674
5857,Male,80,116
5858,Male,80,1034
5859,Male,80,591
5860,Male,80,478
5861,Male,80,472
5862,Male,80,373
5863,Male,80,249
5864,Male,80,155
5865,Male,80,92
5866,Male,80,272
5867,Male,80,372
5868,Male,80,158
5869,Male,80,202
5870,Male,80,435
5871,Male,80,334
5872,Male,80,295
5873,Male,80,516
5874,Male,80,790
5875,Male,80,372
5876,Male,80,431
5877,Male,80,383
5878,Male,80,321
5879,Male,80,150
5880,Male,80,499
5881,Male,80,82
5882,Male,80,407
5883,Male,80,171
5884,Male,80,176
5885,Male,80,175
5886,Male,80,456
5887,Male,80,117
5888,Male,81,9470
5889,Male,81,117
5890,Male,81,922
5891,Male,81,528
5892,Male,81,420
5893,Male,81,434
5894,Male,81,301
5895,Male,81,229
5896,Male,81,146
5897,Male,81,92
5898,Male,81,264
5899,Male,81,326
5900,Male,81,146
5901,Male,81,187
5902,Male,81,367
5903,Male,81,273
5904,Male,81,271
5905,Male,81,421
5906,Male,81,634
5907,Male,81,395
5908,Male,81,421
5909,Male,81,355
5910,Male,81,276
5911,Male,81,105
5912,Male,81,441
5913,Male,81,70
5914,Male,81,349
5915,Male,81,151
5916,Male,81,163
5917,Male,81,167
5918,Male,81,399
5919,Male,81,100
5920,Male,82,8779
5921,Male,82,109
5922,Male,82,919
5923,Male,82,563
5924,Male,82,410
5925,Male,82,410
5926,Male,82,274
5927,Male,82,174
5928,Male,82,121
5929,Male,82,80
5930,Male,82,223
5931,Male,82,293
5932,Male,82,159
5933,Male,82,141
5934,Male,82,312
5935,Male,82,266
5936,Male,82,239
5937,Male,82,393
5938,Male,82,622
5939,Male,82,340
5940,Male,82,380
5941,Male,82,333
5942,Male,82,246
5943,Male,82,100
5944,Male,82,395
5945,Male,82,88
5946,Male,82,289
5947,Male,82,147
5948,Male,82,138
5949,Male,82,127
5950,Male,82,365
5951,Male,82,123
5952,Male,83,7900
5953,Male,83,101
5954,Male,83,846
5955,Male,83,462
5956,Male,83,312
5957,Male,83,343
5958,Male,83,230
5959,Male,83,173
5960,Male,83,115
5961,Male,83,68
5962,Male,83,215
5963,Male,83,264
5964,Male,83,134
5965,Male,83,146
5966,Male,83,296
5967,Male,83,249
5968,Male,83,222
5969,Male,83,332
5970,Male,83,528
5971,Male,83,270
5972,Male,83,364
5973,Male,83,304
5974,Male,83,233
5975,Male,83,117
5976,Male,83,365
5977,Male,83,73
5978,Male,83,275
5979,Male,83,150
5980,Male,83,133
5981,Male,83,136
5982,Male,83,340
5983,Male,83,104
5984,Male,84,6765
